job_title,company_name,job_posted,job_description,job_link
Front-end Developer,ibex,,"We are looking for an ambitious and self-driven Front-end Developer to join our team. As a Front-end Developer, you will be responsible for implementing visual elements that users see and interact with within a web application, which makes your role crucial for the success of our business.ResponsibilitiesUse a variety of programming languages to create user-friendly web pagesMaintain and improve the company websiteWork in a multidisciplinary team with other professionals such as back-end developers and web designersBuild high-quality mockups and design different prototypesProvide high-quality graphics and visual elementsOptimize our web applications for maximum speedDesign mobile-based featuresAlways stay consistent with our brand guidelines Get feedback from users and customersMake suggestions for better solutions to problemsKeep abreast of latest and emerging technologiesAttend training and education Qualifications3-4 years of experience as a Front-end DeveloperExcellent knowledge of browser troubleshooting and debugging practices and techniquesDevelop new user-facing features using HTML5, Bootstrap, and CSS3 with animations, JavaScript, and jQuery.Utilize libraries and frameworks such as AniJS, Angular, and ReactJS to enhance user interaction.Knowledge of some SEO principles3+ years of experience with markup languages2+ years of experience with JavaScript, CSS, and jQueryProven work experience as a Front-End Web Developer.Knowledge of code versioning tools, such as Git.Sense of ownership and pride in your performance and its impact on the company’s successCritical thinking and problem-solving skillsTeam playerGood time-management skillsGreat interpersonal and communication skillsBachelor’s degree in Computer Science, Design, or a related field is preferred.Additional InformationThis position is a full-time client-side role based in Karachi.We offer a competitive salary and benefits package.Performance bonuses are provided based on individual and team achievements.",https://pk.linkedin.com/jobs/view/front-end-developer-at-ibex-4233294655?trk=public_jobs_topcard-title
"Angular Developer (Onsite, Karachi, PKR Salary)",HR POD Careers,4 days ago,"Requirements:B.Sc. in Computer Science or Software Engineering.3+ years of relevant experience. Proficiency in JavaScript, TypeScript, Angular (v6 and above), HTML, and CSS.Creating self-contained, reusable, and testable modules and components.Experience with database technologies (e.g., MySQL and MongoDB).Experience with building the infrastructure for serving the front-end app and assets.Writing efficient JavaScript code while also using HTML and CSS, interacting with external website services.Architecting and automating the build process for production, using task runners or scripts.Excellent written and verbal communication skills with proven fluency in English.Creating configuration, build, and test scripts for Continuous Integration environments.Documenting the code inline using JSDoc or other conventions.Writing extensive unit tests using automated TDD tasks.Responsibilities:Building and implementing top-notch user interfaces using JavaScript and the Angular framework.Using the latest front-end technology, creating adaptable interfaces for online/cloud apps.Leading with product-analysis tasks and conducting performance tests.Collaborating with other cross-functional teams to ensure high-performance of applicationsIdentifying and troubleshooting issues with front end codeProviding tech support for clearing bottlenecks and obstaclesCooperating with the back-end developer in the process of building the RESTful APIPerform complex product analysis as well as development duties that may include significant research and analysis.",https://pk.linkedin.com/jobs/view/angular-developer-onsite-karachi-pkr-salary-at-hr-pod-careers-4271614058?trk=public_jobs_topcard-title
"Frontend Engineer - React, Nextjs, TypeScript",Taraki,3 weeks ago,"About The RoleWe're partnering with a fully funded, early stage US startup disrupting logistics through AI powered tools for fleet operators. They're rapidly scaling and need a seasoned Frontend Engineer to lead UI development. This is a fulltime, remote position where you'll collaborate directly with the Founder, CTO, and engineering team.What Youll OwnArchitect and build production-grade UIs using React, Next.js, and TypeScriptEnsure responsive interfaces for web, iPad, and mobileIntegrate real-time data interfaces (WebSockets, REST, GraphQL)Translate complex workflows into user-friendly experiencesCollaborate with Product Designers for pixel-perfect UIMentor junior engineers and internsOptimize code for performance, modularity, and maintainabilityIterate quickly on customer feedback and backlog tasksUse AI coding tools (e.g., Cursor) to accelerate developmentWhat We Are Looking For3-5 years of experience with React, Next.js, and TypeScriptExpertise in responsive design across devicesBackground in performance tuning and real-time integrationProven ability to implement complex navigation flowsHigh design IQ and attention to UI fidelityComfortable mentoring junior engineersExcellent communication skillsregular collaboration with founders, CTO, and teamAvailability: :8 hrs/day, must overlap US hours (minimum 4 hrs between 9am5pm EST)Nice-to-HavesExperience in robotics, automation, or logistics interfacesFamiliarity with mapping libraries (Leaflet, Mapbox)Knowledge of ROS or warehouse logistics workflowsComfortable using AI-assisted coding toolsWhy Join?Lead UI delivery for a high-impact, AI-driven logistics platformDirect collaboration with leadership in a founder-led environmentDefine front-end architecture and engineering best practicesFast-paced startup with rapid iteration and real user impactCompetitive compensation of $3,000 to $4,500 USD per month100% remote position",https://pk.linkedin.com/jobs/view/frontend-engineer-react-nextjs-typescript-at-taraki-4259156198?trk=public_jobs_topcard-title
Frontend Developer,Life @ Get Licensed,5 days ago,"About Us:Our purpose here at Get Licensed is to make our world a safer place, and our product promise is to make the Security Industry more efficient by leveraging technology. We also have a people's promise, as without people we are nothing - we believe that looking after our people is paramount, and the pathway to success. Our people promise to provide joy, knowledge, and prosperity for our team members, customers, and shareholders. Get Licensed is a technology business at heart (the majority of our team are developers or tech wizards), and we are at an incredibly exciting stage of our business, having grown 70% year-on-year since 2020.We’re looking for a Frontend UI Developer to join our team and contribute to the development of responsive, mobile-friendly user interfaces within a React/Next.js environment. This role involves working with technologies such as Tailwind CSS, Bootstrap, and SCSS to help implement visually consistent, pixel-accurate designs. Collaboration with front-end engineers and design teams is an essential part of the role to support a seamless user experience across platforms.An understanding of mobile-first design and a focus on responsive, accessible UI development is beneficial, as well as an interest in maintaining design consistency across applications.What You’ll Get to Do:Immerse yourself in transforming design mockups and wireframes into well-structured CSS code, gaining hands-on experience within React/Next.js codebases and Laravel applications.Develop skills in leveraging CSS frameworks, such as Tailwind CSS and Bootstrap, to streamline UI development while ensuring alignment with design systems.Build a deeper understanding of creating cohesive user experiences by collaborating with front-end developers and designers.Learn how to maintain high code quality and consistency through active participation in code reviews.Stay engaged with the latest advancements in web design and development, nurturing a forward-thinking approach to your craft.What We are looking for?3+ years of experience in front-end development, with a focus on UI/UX design in React/Next.js environments and Laravel applications.Proficiency in CSS and SCSS, along with exposure to frameworks like Tailwind CSS and Bootstrap, fostering growth in responsive styling techniques.A strong foundation in responsive web design principles, with an emphasis on mobile-first approaches.Familiarity with JavaScript and React, offering opportunities to expand your expertise alongside UI-focused development.A collaborative mindset and effective communication skills, ensuring seamless teamwork and the exchange of ideas.Expected Behaviours:We are committed to achieving excellence, whilst having fun and being highly curious. We are passionate about hiring fantastic individuals who thrive in an open, fast-paced and collaborative environment, who are accountable to themselves, take responsibility from day one, and are willing to roll their sleeves up to get stuff done.There are certain behaviours that we expect from our colleagues, and the key ones are set out below. Fundamentally we expect everyone at Get Licensed to Do The Right Thing. We measure performance against these behaviours as part of each employee’s quarterly review:Be empathetic - Be kind and treat others how you would like to be treatedRemain curious - ask questions, continually learn, and strive for betterEmpower people - share your knowledge, lend a helping hand, and make people feel valuedThink big - Think differently, be agile, act on great ideas quickly – there is always a better way of doing somethingDelivery quality - Work to a standard of which you are proud - be efficient, take ownership, deliver and celebrate successesOur People Promise at Get Licensed is to provide joy, knowledge and prosperity for our team members, customers, and shareholders. We believe that looking after our people is paramount, and the pathway to success",https://pk.linkedin.com/jobs/view/frontend-developer-at-life-%40-get-licensed-4268092218?trk=public_jobs_topcard-title
Frontend Engineer (Angular),CodeNinja Inc.,3 weeks ago,"We are looking for a skilled Frontend Engineer with 3-5 years of experience to join our team. In this role, you will be responsible for developing and maintaining high-quality, scalable Angular applications while ensuring optimal performance and seamless integration with backend services.You should have a strong grasp of Angular, TypeScript, state management, UI libraries like Ant Design, and security best practices. Writing clean, maintainable, and testable code is a key part of this role, along with implementing unit tests using Jasmine, Karma, or Jest.If you have experience working independently, collaborating with cross-functional teams, and are passionate about building intuitive and performant web applications, we'd love to hear from you!The Responsibilities:Develop & maintain Angular applicationsIntegrate Ant Design or other UI librariesWrite clean, maintainable, and testable codeImplement unit tests using Jasmine, Karma, or JestWork independently & ensure high code qualityOptimize performance and ensure cross-browser compatibilityCollaborate with backend developers & designersRequirementsRequirements3-5 years of experience in Angular (v14+)Proficiency in TypeScript and State Management using Angular servicesExperience in Security best practices (CORS, XSS, CSRF)Experience integrating Ant Design, Material UI, or PrimeNGExperience with Tailwind CSS for styling componentsExperience in code refactoring in conjunction with unit testingStrong knowledge of unit testing (Jasmine, Karma, Jest)Ability to work independently & deliver production-ready codeFamiliarity with RESTful APIs and WebSocket for frontend/backend integrationExperience with CI/CD pipelines is a plusGood communication skills in EnglishWorking Hours: 6am to 3pm Pakistan time",https://pk.linkedin.com/jobs/view/frontend-engineer-angular-at-codeninja-inc-4260823469?trk=public_jobs_topcard-title
Staff Frontend Engineer,Beam AI,1 week ago,"About BeamBeam is a tech start-up leveraging Generative AI and NLP to build AI Agents for business operations. Beam's generative agents help organisations to boost their productivity by automating repetitive tasks in seconds. Powered by LLMs, AI agents are easy to setup, seamlessly integrate with business applications, and support teams where they need them most. We are on a mission to transform business practices by empowering organisations with artificial intelligence to increase efficiency, improve competitiveness, and scale operations globally.To learn more about us, please visit our website at https://www.beam.ai/About The RoleAs a Staff Frontend Engineer at Beam, you will play a lead role in defining the future of our frontend architecture. You'll guide design decisions, set engineering standards, and build scalable, performant web applications that power our AI Agent platform. This is a senior technical leadership role, ideal for someone who thrives at the intersection of deep technical execution, cross-functional collaboration, and long-term platform thinking.We are looking for someone who brings architectural maturity, a hands-on mindset, and a strong sense of ownership in building user-facing systems at scale.ResponsibilitiesYour key responsibilities will entail the following:Lead and evolve the frontend architecture, ensuring scalability, maintainability, and long-term design consistencyEvaluate and implement component-driven development practices and reusable UI structuresBuild and maintain complex, high-performance, and responsive web applications used by global teams and clientsPartner with backend and ML engineers to ensure frontend systems integrate cleanly with dynamic, AI-driven workflowsDrive engineering best practices across the frontend stack, testing, documentation, performance optimization, and accessibilityContribute to design reviews, system-level decisions, and technical planning alongside engineering leadershipMentor frontend engineers, lead code reviews, and help shape a strong engineering cultureRequirementsBachelor's degree in Computer Science, Software Engineering, or a related fieldMinimum 8+ years of frontend development experience, including experience in a staff or lead-level roleAdvanced proficiency in JavaScript (ES6+), TypeScript, and React.js. Proven ability to architect and scale frontend systems in complex product environmentsDeep understanding of component-based development, responsive design, and frontend performance optimisationExperience with state management tools like React Query or Redux ToolkitFamiliarity with styling systems such as styled-components or other CSS-in-JS solutionsStrong grasp of version control workflows (Git/GitHub) and CI/CD pipelinesExcellent communication and collaboration skills, with experience working across product, design, and backend teamsBenefitsWhy Beam?At Beam, we foster a culture of ownership and growth, giving you the freedom to take charge of your work and make a meaningful impact on the future of AI. As part of a highly collaborative, fast-paced startup, you'll have the opportunity to work at the forefront of AI innovation, designing and building solutions that address real-world business challenges.We offer more than just a job. Here, you'll find: Ownership and autonomy: You'll have the opportunity to own the full lifecycle of projects, from conception to execution, and see your work directly impact businesses worldwide Personal and professional growth: We encourage continuous learning and innovation. Whether you're advancing in your technical expertise, growing your leadership skills, or shaping the next generation of AI solutions, your growth is our priority Being at the cutting edge: You'll be working with the latest AI technologies, driving innovation in generative AI and natural language processing Competitive benefits and stock options: We offer a competitive salary, stock options, and comprehensive benefits to ensure you're not only rewarded today but also invested in the future of the company Collaborative Culture: You'll work alongside brilliant minds in an agile, collaborative, and supportive startup environment, where your ideas can truly make a differenceIf you are passionate about leveraging AI to drive innovation and thrive in a collaborative, fast-paced environment, we'd love to hear from you! Join us in shaping the future of AI-powered solutions!",https://pk.linkedin.com/jobs/view/staff-frontend-engineer-at-beam-ai-4266229094?trk=public_jobs_topcard-title
React Developer,Life @ Get Licensed,5 days ago,"About Us:Our purpose here at Get Licensed is to make our world a safer place, and our product promise is to make the Security Industry more efficient by leveraging technology. We also have a people's promise, as without people we are nothing - we believe that looking after our people is paramount, and the pathway to success. Our people promise to provide joy, knowledge, and prosperity for our team members, customers, and shareholders. Get Licensed is a technology business at heart (the majority of our team are developers or tech wizards), and we are at an incredibly exciting stage of our business, having grown 70% year-on-year since 2020.We're on the hunt for a React Developer to join our team. In this role, you'll contribute to building dynamic and scalable front-end solutions while learning and growing alongside experienced professionals. If you have a solid foundation in React.js, modern JavaScript, and a passion for clean and efficient coding, we want to hear from you!What You’ll Get to Do:Craft beautiful interfaces using React.js and Next.js that elevate user engagement across platforms.Bring data to life by integrating RESTful APIs and managing seamless client-server communication.Streamline user interactions through effective Redux-driven state management for responsive, intuitive apps.Champion clean code by applying best practices and modern standards that ensure scalability and maintainability.Collaborate fearlessly with developers using Git and strong version control workflows to keep projects on track.Solve real challenges by troubleshooting front-end issues and continuously refining the user interface.Co-create great design by partnering with product and UX teams to deliver polished and impactful experiences.Stay future-ready by keeping up with the latest web trends and committing to lifelong learning.What We are looking for?2+ years of experience in React.js development, with a strong foundation in key front-end principles.Proficiency in JavaScript (ES6+), including DOM manipulation and modern JavaScript concepts.Familiarity with state management libraries like Redux or Context API, with opportunities to deepen this knowledge further.Solid understanding of RESTful APIs and asynchronous programming (Promises, async/await) with room to refine your skills.Basic knowledge of responsive design principles and UI/UX best practices, allowing for continuous learning in design approaches.Exceptional analytical, debugging, and problem-solving abilities, nurtured by hands-on experience in diverse projects.Expected Behaviours:We are committed to achieving excellence, whilst having fun and being highly curious. We are passionate about hiring fantastic individuals who thrive in an open, fast-paced and collaborative environment, who are accountable to themselves, take responsibility from day one, and are willing to roll their sleeves up to get stuff done.There are certain behaviours that we expect from our colleagues, and the key ones are set out below. Fundamentally we expect everyone at Get Licensed to Do The Right Thing. We measure performance against these behaviours as part of each employee’s quarterly review:Be empathetic - Be kind and treat others how you would like to be treatedRemain curious - ask questions, continually learn, and strive for betterEmpower people - share your knowledge, lend a helping hand, and make people feel valuedThink big - Think differently, be agile, act on great ideas quickly – there is always a better way of doing somethingDelivery quality - Work to a standard of which you are proud - be efficient, take ownership, deliver and celebrate successesOur People Promise at Get Licensed is to provide joy, knowledge and prosperity for our team members, customers, and shareholders. We believe that looking after our people is paramount, and the pathway to success",https://pk.linkedin.com/jobs/view/react-developer-at-life-%40-get-licensed-4268094138?trk=public_jobs_topcard-title
Senior React Developer,Krank,1 week ago,"Position: Senior React Developer Location:Krank Tech (Private) Limited – Karachi (On-site) Job Description: We are seeking a highly skilled React.js/Next.js Developer to join our dynamic team. As a key member of our development department, you will be responsible for designing, implementing and maintaining web applications using React.js. You will collaborate with cross-functional teams, including designers and back-end developers, to create user-friendly, responsive interfaces, while adhering to best practices.Key Responsibilities:Develop and Implement: Design, code, test, and debug web applications using React.js, ensuring high performance and responsiveness. Collaborate: Work closely with UI/UX designers and back-end developers to translate designs and wireframes into high-quality code. Optimize Performance: Identify and address performance bottlenecks and implement necessary optimizations. Testing and Debugging: Conduct thorough testing of your code and the team’s code for applications and perform debugging to ensure high-quality deliverables. Stay Updated: Keep up to date with the latest industry trends, best practices, and emerging technologies to continuously improve development processes. Problem Solving: Troubleshoot and resolve complex issues related to application functionality and performance. Communication: Ability to articulate technical concepts and collaborate with other team members and stakeholders, including designers, product managers, and backend engineers. Agile Methodology: Experience working in agile teams and participating in daily standups, sprint planning, and retrospectives. Hands-on Experience with Complex Applications: Experience in building large-scale, production-level applications, dealing with performance bottlenecks, scalability, and real-world problems. Version Control Systems: Proficiency with Git for version control, code reviews, and collaboration. Proficiency in React.js: Deep understanding of React concepts such as hooks, state management, context API, lifecycle methods, and functional components. JavaScript/ES6+ Expertise: Strong command over modern JavaScript, including ES6+ features like arrow functions, destructuring, async/await, etc. Front-end Development: Solid experience with HTML5, CSS3, and pre-processors like SASS/LESS. Responsive Design and Cross-Browser Compatibility: Experience ensuring applications are mobile-friendly and compatible with various browsers. Requirements:Minimum of 3-5 years of experience in front-end development, specifically with React for at least 3 years. Degree in Computer Science, Engineering or a related field is a plus (or equivalent experience). Experience developing web applications using React.js. Proficiency in React.js and related libraries (Redux, Mobx, etc.). Strong knowledge of HTML, CSS, and JavaScript. Experience with responsive web design and mobile development. Familiarity with front-end build tools and package managers (e.g., Webpack, Babel, npm). Understanding of RESTful API integration and asynchronous programming. Experience with state management libraries (e.g., Redux) and modern front-end build tools (e.g., Webpack). Leadership quality to present the team at all levelsExperience with unit testing and testing frameworks (e.g., Jest, Enzyme) is a plus.",https://pk.linkedin.com/jobs/view/senior-react-developer-at-krank-4267055444?trk=public_jobs_topcard-title
Software Engineer,Habib Bank AG Zurich,2 weeks ago,"Job PurposeThe resource will be required to work within a team of software developers to deliver Projects, CRS and solve the incident tickets related to the banking system. The resource is expected to have very good analytical and logical skills. The resource will work under the guidance of Team Lead and will report to the Project Manager.Responsibilities● To work with the Project Manager, Team Lead and will be required to be involved in requirements gathering, system specification and design stages.● To develop / update / modify the banking systems modules and options based upon the requirements of projects or change requests.● Will be responsible for unit / integration testing and will be involved in the QA cycles of the module.The resources will be required to troubleshoot the issue and provide support to the customer(internal users of the banking system) after the development of the modules in the productionenvironment.Skills: ● Java● Object Oriented Programming (OOP)● Web Services● SQL (Sybase)Experience and Education- Minimum of 2 to 3 YearsEducation: Bachelors Required*, BS Software EngineeringLast Date to apply 28/03/2025",https://pk.linkedin.com/jobs/view/software-engineer-at-habib-bank-ag-zurich-4260386669?trk=public_jobs_topcard-title
Angular Developer,LMKR,1 week ago,"Job Summary:We are looking for Angular Developers with 3 to 5 years of working experience to join our Dev Services team.Job Responsibilities:Building and implementing top-notch user interfaces using JavaScript and the Angular framework.Using the latest front-end technology, creating adaptable interfaces for online/cloud apps.Leading with product-analysis tasks and conducting performance tests.Collaborating with other cross-functional teams to ensure high-performance of applications.Identifying and troubleshooting issues with front end code.Providing tech support for clearing bottlenecks and obstacles.Cooperating with the back-end developer in the process of building the RESTful API.Perform complex product analysis as well as development duties that may include significant research and analysis.Required Skills:Proficiency in JavaScript, TypeScript, Angular (v6 and above), HTML, and CSSCreating self-contained, reusable, and testable modules and components.Experience with database technologies (e.g., MySQL and Mongo DB).Experience with building the infrastructure for serving the front-end app and assets.Writing efficient JavaScript code while also using HTML and CSS, interacting with external website services.Architecting and automating the build process for production, using task runners or scripts.Excellent written and verbal communication skills with proven fluency in English.Creating configuration, build, and test scripts for Continuous Integration environments.Documenting the code inline using JSDoc or other conventions.Writing extensive unit tests using automated TDD tasks.Experience:Minimum: 3 yearsPreferred: 3-5 yearsEducation/Qualification:Minimum: Bachelors in Computer Science or Software Engineering.Preferred: Masters in Computer Science or Software Engineering.Location:Karachi",https://pk.linkedin.com/jobs/view/angular-developer-at-lmkr-4267904877?trk=public_jobs_topcard-title
