job_title,company_name,job_posted,job_description,job_link,matched_folder,ats_feedback
Front-end Developer,ibex,4 days ago,"We are looking for an ambitious and self-driven Front-end Developer to join our team. As a Front-end Developer, you will be responsible for implementing visual elements that users see and interact with within a web application, which makes your role crucial for the success of our business.ResponsibilitiesUse a variety of programming languages to create user-friendly web pagesMaintain and improve the company websiteWork in a multidisciplinary team with other professionals such as back-end developers and web designersBuild high-quality mockups and design different prototypesProvide high-quality graphics and visual elementsOptimize our web applications for maximum speedDesign mobile-based featuresAlways stay consistent with our brand guidelines Get feedback from users and customersMake suggestions for better solutions to problemsKeep abreast of latest and emerging technologiesAttend training and education Qualifications3-4 years of experience as a Front-end DeveloperExcellent knowledge of browser troubleshooting and debugging practices and techniquesDevelop new user-facing features using HTML5, Bootstrap, and CSS3 with animations, JavaScript, and jQuery.Utilize libraries and frameworks such as AniJS, Angular, and ReactJS to enhance user interaction.Knowledge of some SEO principles3+ years of experience with markup languages2+ years of experience with JavaScript, CSS, and jQueryProven work experience as a Front-End Web Developer.Knowledge of code versioning tools, such as Git.Sense of ownership and pride in your performance and its impact on the company’s successCritical thinking and problem-solving skillsTeam playerGood time-management skillsGreat interpersonal and communication skillsBachelor’s degree in Computer Science, Design, or a related field is preferred.Additional InformationThis position is a full-time client-side role based in Karachi.We offer a competitive salary and benefits package.Performance bonuses are provided based on individual and team achievements.",https://pk.linkedin.com/jobs/view/front-end-developer-at-ibex-4233294655?trk=public_jobs_topcard-title,FRONTEND,"Score: 8/10
Reason: The resume is well-structured and easy to parse, with relevant keywords and phrases from the job description, such as ""Frontend Developer"", ""React.js"", ""JavaScript"", and ""CSS3"", scattered throughout. However, some sections, like the ""Objective"" and ""Education"", could be more concise and directly relevant to the job requirements."
Software Engineer (MERN),VentureDive,5 days ago,"Job BriefWe are looking for a Software Engineer (MERN) who will be responsible for building and implementing new web applications, pages, and sites; their integration and writing powerful client-side/server-side solutions using web-based frameworks.VentureDive OverviewFounded in 2012 by veteran technology entrepreneurs from MIT and Stanford, VentureDive is the fastest-growing technology company in the region that develops and invests in products and solutions that simplify and improve the lives of people worldwide. We aspire to create a technology organization and an entrepreneurial ecosystem in the region that is recognized as second to none in the world.Key Responsibilities:Build new and maintain existing web-based applicationsAgile web development using cutting edge web technologies and platformsDeliver solutions with a relentless focus on automation and deployment via Jenkins, Bitbucket pipelines and similar toolsWrite solid code with excellent unit test coverageProviding accurate time and effort estimatesWorking closely with the Team Lead to discuss technical solutions and innovative ideas to those solutions. Qualification & Experience:Bachelors/Masters in Computer Sciences2-5 years of proven experience in developing complex applications with backend servicesModern day JavaScript (ES6, ES7)Experience with MEAN / MERN stack. Preference is MERN stackGood understanding of OOP, ORM and RDBMS (e.g. MySql, Postgres)Javascript unit testing tools (e.g. Jest)JavaScript linting tools (e.g. ESLint)Basic understanding of HTML/CSS and its frameworks like Bootstrap, Material UISource version control system i.e. Git, BitBucketKnowledge of best practices (coding styles, standard naming conventions, reusability, etc). Must be able to communicate with clientWhat We Look For Beyond Required SkillsIn order to thrive at VentureDive, you…are intellectually smart and curious…have the passion for and take pride in your work…deeply believe in VentureDive’s mission, vision, and values…have a no-frills attitude…are a collaborative team player…are ethical and honestAre you ready to put your ideas into products and solutions that will be used by millions?You will find VentureDive to be a quick pace, high standards, fun and a rewarding place to work at. Not only will your work reach millions of users world-wide, you will also be rewarded with competitive salaries and benefits. If you think you have what it takes to be a VenDian, come join us ... we're having a ball!Powered by JazzHRPyspXAKoRh",https://pk.linkedin.com/jobs/view/software-engineer-mern-at-venturedive-4286925646?trk=public_jobs_topcard-title,FULL STACK,"Score: 8/10
Reason: The resume is well-structured and easy to parse, with relevant keywords and phrases from the job description, such as ""Full Stack Developer"", ""React.js"", ""Node.js"", ""JavaScript"", and ""Git"". However, some sections, like the objective and education, could be more concise and focused on the job requirements."
Frontend Developer,Life @ Get Licensed,1 week ago,"About Us:Our purpose here at Get Licensed is to make our world a safer place, and our product promise is to make the Security Industry more efficient by leveraging technology. We also have a people's promise, as without people we are nothing - we believe that looking after our people is paramount, and the pathway to success. Our people promise to provide joy, knowledge, and prosperity for our team members, customers, and shareholders. Get Licensed is a technology business at heart (the majority of our team are developers or tech wizards), and we are at an incredibly exciting stage of our business, having grown 70% year-on-year since 2020.We’re looking for a Frontend UI Developer to join our team and contribute to the development of responsive, mobile-friendly user interfaces within a React/Next.js environment. This role involves working with technologies such as Tailwind CSS, Bootstrap, and SCSS to help implement visually consistent, pixel-accurate designs. Collaboration with front-end engineers and design teams is an essential part of the role to support a seamless user experience across platforms.An understanding of mobile-first design and a focus on responsive, accessible UI development is beneficial, as well as an interest in maintaining design consistency across applications.What You’ll Get to Do:Immerse yourself in transforming design mockups and wireframes into well-structured CSS code, gaining hands-on experience within React/Next.js codebases and Laravel applications.Develop skills in leveraging CSS frameworks, such as Tailwind CSS and Bootstrap, to streamline UI development while ensuring alignment with design systems.Build a deeper understanding of creating cohesive user experiences by collaborating with front-end developers and designers.Learn how to maintain high code quality and consistency through active participation in code reviews.Stay engaged with the latest advancements in web design and development, nurturing a forward-thinking approach to your craft.What We are looking for?3+ years of experience in front-end development, with a focus on UI/UX design in React/Next.js environments and Laravel applications.Proficiency in CSS and SCSS, along with exposure to frameworks like Tailwind CSS and Bootstrap, fostering growth in responsive styling techniques.A strong foundation in responsive web design principles, with an emphasis on mobile-first approaches.Familiarity with JavaScript and React, offering opportunities to expand your expertise alongside UI-focused development.A collaborative mindset and effective communication skills, ensuring seamless teamwork and the exchange of ideas.Expected Behaviours:We are committed to achieving excellence, whilst having fun and being highly curious. We are passionate about hiring fantastic individuals who thrive in an open, fast-paced and collaborative environment, who are accountable to themselves, take responsibility from day one, and are willing to roll their sleeves up to get stuff done.There are certain behaviours that we expect from our colleagues, and the key ones are set out below. Fundamentally we expect everyone at Get Licensed to Do The Right Thing. We measure performance against these behaviours as part of each employee’s quarterly review:Be empathetic - Be kind and treat others how you would like to be treatedRemain curious - ask questions, continually learn, and strive for betterEmpower people - share your knowledge, lend a helping hand, and make people feel valuedThink big - Think differently, be agile, act on great ideas quickly – there is always a better way of doing somethingDelivery quality - Work to a standard of which you are proud - be efficient, take ownership, deliver and celebrate successesOur People Promise at Get Licensed is to provide joy, knowledge and prosperity for our team members, customers, and shareholders. We believe that looking after our people is paramount, and the pathway to success",https://pk.linkedin.com/jobs/view/frontend-developer-at-life-%40-get-licensed-4281073835?trk=public_jobs_topcard-title,FRONTEND,"Score: 8/10
Reason: The resume is well-structured and easy to parse, with relevant keywords from the job description such as React, Next.js, and Tailwind CSS. However, the objective statement is not tailored to the specific job, and some sections, like the education and honors, could be more concise."
Intern - Software Engineer (E-commerce),Codup,1 day ago,"E-commerce Engineer InternShopify | WooCommerce | BigCommerceAbout The RoleWe are looking for ambitious and curious fresh graduates to join our E-commerce Engineer Internship program. As an intern, you will be trained and mentored to become a specialist in building, optimizing, and scaling online stores across leading ecommerce platforms — Shopify, WooCommerce (WordPress), and BigCommerce.This program is designed to transform you into a well-rounded ecommerce engineer: someone who understands both the technical and business sides of online retail, capable of turning ideas into live, revenue-generating stores.What You’ll DoLearn and apply core web development skills (HTML, CSS, JavaScript, APIs) in real ecommerce projectsAssist in setting up and customizing online stores on Shopify, WooCommerce, and BigCommerceWork with product data: uploading products in bulk, managing SKUs, and optimizing product listingsContribute to store performance optimization (speed, checkout flow, user experience)Support integration of payment gateways, shipping, and third-party apps/pluginsTroubleshoot issues and help diagnose problems across e-commerce websitesCollaborate with engineers, designers, and marketers to deliver real client projectsGain exposure to analytics and conversion optimization — understanding how design and tech choices impact salesWhat We’re Looking ForRecent graduate in Computer Science, IT, Engineering, Business Technology, or related field (or equivalent practical experience). Solid grasp of web fundamentals: HTML, CSS, and basic JavaScript. Strong logical and analytical thinking skills. Self-starter attitude with proven ability to learn new technologies quicklyCurious about e-commerce, digital business, and online customer experienceBonus: Any exposure to WordPress, Shopify, or data manipulation (Excel/CSV) is a plusWhat You’ll GainHands-on mentorship to become a professional E-commerce EngineerReal project experience with diverse clients and industriesTraining in three of the world’s most in-demand ecommerce platformsExposure to both the technical and business aspects of online retailA path to full-time employment for top performersWhy Join Us?This is more than just an internship. It’s a launchpad into a career at the intersection of technology and commerce. E-commerce is one of the fastest-growing industries globally, and by the end of this program, you’ll have skills that make you highly competitive in the market.Powered by JazzHRx1MIeDwZMP",https://pk.linkedin.com/jobs/view/intern-software-engineer-e-commerce-at-codup-4288317731?trk=public_jobs_topcard-title,FULL STACK,"Score: 8/10
Reason: The resume is well-structured and easy to parse, with relevant keywords like ""HTML"", ""CSS"", ""JavaScript"", and ""e-commerce"" present. However, it lacks specific experience or skills directly related to Shopify, WooCommerce, or BigCommerce, which are crucial for the job description."
Software Engineer,NielsenIQ,2 weeks ago,"Company DescriptionNIQ Etilize (formerly GfK Etilize) is the largest product data provider in the world. We have been providing clients from around the world with mission-critical product data and solutions for retailers, distributors and manufacturers to power their eCommerce efforts. Our team brings decades of eCommerce experience, and we truly are passionate about product content and optimizing it for our clients. We provide standardized product data feeds for more than 20 million products worldwide.Job DescriptionNIQ BrandBank is the largest product data provider in the world. We have been providing clients from around the world with mission-critical product data and solutions for retailers, distributors and manufacturers to power their eCommerce efforts. Our team brings decades of eCommerce experience, and we truly are passionate about product content and optimizing it for our clients. We provide standardized product data feeds for more than 20 million products worldwide.We are building a next-generation PIM System which defines how we acquire, aggregate, normalize and syndication a huge amount of data to different targets using state-of-the-art technologies. This is a great opportunity for seasoned Java developers & architects to become part of a great product development team and grow their careers by working on cutting-edge technologies and solve problems involving a huge amount of data, high availability and scalability in a distributed environment.As a very experienced Java developer/programmer, you may require to own certain parts of the products, manage small or bigger teams, contribute to design and oversee implementation. You must be a passionate software engineer who models the world, think in terms of design patterns and object-oriented design, functional programming, test-driven development are your second nature. You are used to working in agile teams delivering small, incremental improvements through continuous delivery pipelines. You are proud of the quality, security and robustness of the code you write, and because you write your code with an in-depth understanding of the execution environment these qualities translate to the systems you implement as well.As an experienced Software Engineer you will have the following key responsibilities:Provide solutions to problems across your functional areasOwn features and drive them to delivery end to endWrite well designed, testable, efficient code (mostly in java)Develop and debug high-volume, low-latency, high-performance applications which are highly availableDevelop APIs via object-oriented design using agile methodology e.g. Scrum etcContribute in all phases of the development lifecycleWork in TypeScript, NodeJSWork with a mentor to learn and demonstrate constant progress towards the next level of the career ladderQualificationsAs an experienced Software Engineer, what skills, qualifications and experience do you need?Bachelor or higher degree in Computer Science or related field4~ years of commercial software development experienceExpert knowledge of Java Platform and related technologiesAdept experience working with static code analysis and linting toolsComprehensive automated testing experienceExperience with containerization with Docker etcKnowledge of CI/CD processesVery good knowledge of GitExperience with NoSQL databases like ElasticSearch or MongoDBGood understanding of web technologiesAbility to work in TypeScript, NodeJSAbility to work independently and must be self-drivenMust be passionate for quality and has a keen eye for designs and aestheticsExcellent written and verbal English communication skillsA list of tools & technologies we often work with (the list goes on):Tools & Technologies:JavaSpring FrameworkDistributed micro servicesKafkaDocker & KubernetesMongoAngularReactnode.jsGit Working knowledgeMysqlNeo4jRedisTypeScriptDynamodbAWSGraphqlSonarAdditional InformationBenefits: Exciting work environment that brings people together Use the latest digital technologies Ongoing trainings to support your development Opportunities for personal and professional growth Great compensation linked to individual performance and company resultsOur BenefitsFlexible working environmentVolunteer time offLinkedIn LearningEmployee-Assistance-Program (EAP)About NIQNIQ is the world’s leading consumer intelligence company, delivering the most complete understanding of consumer buying behavior and revealing new pathways to growth. In 2023, NIQ combined with GfK, bringing together the two industry leaders with unparalleled global reach. With a holistic retail read and the most comprehensive consumer insights—delivered with advanced analytics through state-of-the-art platforms—NIQ delivers the Full View™. NIQ is an Advent International portfolio company with operations in 100+ markets, covering more than 90% of the world’s population.For more information, visit NIQ.comWant to keep up with our latest updates?Follow us on: LinkedIn | Instagram | Twitter | FacebookOur commitment to Diversity, Equity, and InclusionNIQ is committed to reflecting the diversity of the clients, communities, and markets we measure within our own workforce. We exist to count everyone and are on a mission to systematically embed inclusion and diversity into all aspects of our workforce, measurement, and products. We enthusiastically invite candidates who share that mission to join us. We are proud to be an Equal Opportunity/Affirmative Action-Employer, making decisions without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability status, age, marital status, protected veteran status or any other protected class. Our global non-discrimination policy covers these protected classes in every market in which we do business worldwide. Learn more about how we are driving diversity and inclusion in everything we do by visiting the NIQ News Center: https://nielseniq.com/global/en/news-center/diversity-inclusion",https://pk.linkedin.com/jobs/view/software-engineer-at-nielseniq-4280078469?trk=public_jobs_topcard-title,AI,"Score: 2/10
Reason: The resume is not well-aligned with the job description, as it focuses on AI development, machine learning, and front-end development, whereas the job requires expertise in Java, Spring Framework, and distributed microservices. The candidate's skills and experience do not match the job's requirements, making it unlikely to pass the ATS filter."
Software Engineer - Integrations,Pakistan Single Window (PSW),2 weeks ago,"Design, develop, and maintain integration solutions using IBM App ConnectSupport and maintain IBM Integration Layer, including (DataPower, App Connect, and WebSphere)Collaborate with cross-functional teams to identify integration requirementsAnalyze business needs and develop technical designs for integration solutionsConfigure and implement IBM App Connect objects, including connectors, databases, and web servicesCreate and maintain technical documentation, including design documents, test scripts, and user manualsProvide technical support for incidents and issues related to integration solutionsDevelop and maintain good working relationships with vendors, customers, and internal stakeholdersRequirementsBachelor's degree in Computer Science or a related fieldShort notice period will be high value1+ years of experience in system integration and architecturehands-on experience with IBM enterprise service bus, App Connect, WebSphere, IBM DataPower experience in SQLExpertise in IBM App Connect, including designing and implementing integration solutions using a variety of connectors and data formatsExcellent understanding of API management, web services, and ETL processesWorking knowledge of databases, SQL, and scripting languagesStrong analytical and problem-solving skillsAbility to work independently and manage multiple projects simultaneouslyExcellent communication and interpersonal skillsBenefitsCompetitive salaryFuel CardHealth benefitsProfessional development opportunitiesInclusive work culture & much more",https://pk.linkedin.com/jobs/view/software-engineer-integrations-at-pakistan-single-window-psw-4273852925?trk=public_jobs_topcard-title,FULL STACK,"Score: 2/10
Reason: The resume lacks relevant keywords and experience in system integration and architecture, IBM App Connect, WebSphere, and DataPower, which are crucial requirements for the job. The candidate's background is primarily in full-stack development, AI, and front-end development, making it a poor fit for the job description."
React Developer,Life @ Get Licensed,1 week ago,"About Us:Our purpose here at Get Licensed is to make our world a safer place, and our product promise is to make the Security Industry more efficient by leveraging technology. We also have a people's promise, as without people we are nothing - we believe that looking after our people is paramount, and the pathway to success. Our people promise to provide joy, knowledge, and prosperity for our team members, customers, and shareholders. Get Licensed is a technology business at heart (the majority of our team are developers or tech wizards), and we are at an incredibly exciting stage of our business, having grown 70% year-on-year since 2020.We're on the hunt for a React Developer to join our team. In this role, you'll contribute to building dynamic and scalable front-end solutions while learning and growing alongside experienced professionals. If you have a solid foundation in React.js, modern JavaScript, and a passion for clean and efficient coding, we want to hear from you!What You’ll Get to Do:Craft beautiful interfaces using React.js and Next.js that elevate user engagement across platforms.Bring data to life by integrating RESTful APIs and managing seamless client-server communication.Streamline user interactions through effective Redux-driven state management for responsive, intuitive apps.Champion clean code by applying best practices and modern standards that ensure scalability and maintainability.Collaborate fearlessly with developers using Git and strong version control workflows to keep projects on track.Solve real challenges by troubleshooting front-end issues and continuously refining the user interface.Co-create great design by partnering with product and UX teams to deliver polished and impactful experiences.Stay future-ready by keeping up with the latest web trends and committing to lifelong learning.What We are looking for?2+ years of experience in React.js development, with a strong foundation in key front-end principles.Proficiency in JavaScript (ES6+), including DOM manipulation and modern JavaScript concepts.Familiarity with state management libraries like Redux or Context API, with opportunities to deepen this knowledge further.Solid understanding of RESTful APIs and asynchronous programming (Promises, async/await) with room to refine your skills.Basic knowledge of responsive design principles and UI/UX best practices, allowing for continuous learning in design approaches.Exceptional analytical, debugging, and problem-solving abilities, nurtured by hands-on experience in diverse projects.Expected Behaviours:We are committed to achieving excellence, whilst having fun and being highly curious. We are passionate about hiring fantastic individuals who thrive in an open, fast-paced and collaborative environment, who are accountable to themselves, take responsibility from day one, and are willing to roll their sleeves up to get stuff done.There are certain behaviours that we expect from our colleagues, and the key ones are set out below. Fundamentally we expect everyone at Get Licensed to Do The Right Thing. We measure performance against these behaviours as part of each employee’s quarterly review:Be empathetic - Be kind and treat others how you would like to be treatedRemain curious - ask questions, continually learn, and strive for betterEmpower people - share your knowledge, lend a helping hand, and make people feel valuedThink big - Think differently, be agile, act on great ideas quickly – there is always a better way of doing somethingDelivery quality - Work to a standard of which you are proud - be efficient, take ownership, deliver and celebrate successesOur People Promise at Get Licensed is to provide joy, knowledge and prosperity for our team members, customers, and shareholders. We believe that looking after our people is paramount, and the pathway to success",https://pk.linkedin.com/jobs/view/react-developer-at-life-%40-get-licensed-4281072805?trk=public_jobs_topcard-title,FULL STACK,"Score: 8/10
Reason: The resume is well-structured and easy to parse, with relevant keywords like ""React.js"", ""Next.js"", and ""JavaScript"" appearing multiple times. The candidate's experience and skills sections are also well-aligned with the job description, with specific examples of front-end development projects and technologies used. However, the objective statement could be more tailored to the specific job, and some sections, such as the education section, could be more concise."
Software Developer Engineer in Test,360factors (Pvt.) Ltd.,2 weeks ago,"Role OverviewAs an SDET, you will work closely with developers, product managers, and QA to ensure the quality of our applications. You’ll be responsible for creating and maintaining automated test suites using tools like Cypress or Playwright and writing test logic in JavaScript or Python. This role is ideal for someone who thrives on solving complex problems through code and has a strong passion for quality engineering.Key ResponsibilitiesDesign, develop, and maintain scalable automated test frameworks for UI and API testing using Cypress or Playwright.Write automated tests using JavaScript or Python.Integrate test automation with CI/CD pipelines.Collaborate with developers and QA to define test strategies and coverage.Investigate test failures, analyze logs, and perform root cause analysis.Contribute to building a culture of quality across the engineering team.Requirements2-4 years of experience as an SDET, QA Automation Engineer, or similar role.Strong hands-on experience with Cypress or Playwright.Proficiency in JavaScript and/or Python for test automation.Solid understanding of modern testing methodologies (unit, integration, E2E).Experience with version control systems (e.g., Git) and CI/CD tools (e.g., Jenkins, GitHub Actions).Familiarity with Cypress / Rest Assured / Jmeter.Excellent debugging, problem-solving, and communication skills.Nice To HaveExperience testing microservices or cloud-native applications.Knowledge of performance or security testing tools.Experience working in Agile/Scrum environments.Send us your resume at careers@360factors.com mentioning the position in subject line.",https://pk.linkedin.com/jobs/view/software-developer-engineer-in-test-at-360factors-pvt-ltd-4280154002?trk=public_jobs_topcard-title,FULL STACK,"Score: 2/10
Reason: The resume lacks relevant keywords and experience in SDET, QA Automation Engineer, or similar roles, and does not highlight skills in Cypress, Playwright, JavaScript, or Python, which are essential for the job description. The candidate's experience and skills are more focused on full-stack development, AI, and machine learning, making it less aligned with the job requirements."
Next.js Developer,IO DIGITAL,3 weeks ago,"SummaryWe are seeking a skilled and performance-focused Next.js Developer to build fast, scalable, and user-centric web applications. The ideal candidate will be proficient in component-driven architecture and SSR/SSG principles, with experience in building modern UIs, integrating APIs, and optimizing frontend performance. This role requires close collaboration with design, backend, and product teams to bring interactive web experiences to life.ResponsibilitiesDevelop high-performance web applications using Next.js (with SSR, SSG, ISR as applicable)Translate UI/UX designs into responsive, pixel-perfect frontend implementationsIntegrate REST and GraphQL APIs and handle data fetching using Next.js methodsOptimize frontend performance through code splitting, lazy loading, and image handlingBuild reusable components and contribute to design systems or UI librariesImplement SEO, accessibility, and web vitals best practicesCollaborate with backend developers and designers to ensure seamless user experiencesParticipate in code reviews, testing, and version control practicesStay updated with the latest in React, Next.js, and modern frontend trendsRequirementsExperience: 2+ years of frontend or full-stack experience with a strong focus on React/Next.js applications.Skills & CompetenciesProficient in JavaScript (ES6+) and TypeScriptHands-on experience with Next.js features (SSR, SSG, ISR, API routes)Strong understanding of HTML5, CSS3, Tailwind, and BootstrapFamiliarity with state management tools like Context API, Zustand, or ReduxKnowledge of frontend performance optimization and accessibility standardsExperience with Git and modern CI/CD workflowsBasic understanding of headless CMS or backend integration patternsEducation: Bachelor’s degree in Computer Science, Software Engineering, or a related discipline.Other: Experience with deployment platforms like Vercel or Netlify is a plus. Portfolio or GitHubprojects demonstrating modern web app work will strengthen candidacy.",https://pk.linkedin.com/jobs/view/next-js-developer-at-io-digital-4277683568?trk=public_jobs_topcard-title,FRONTEND,"Score: 8/10
Reason: The resume is well-structured and easy to parse, with relevant keywords like Next.js, React.js, and frontend development mentioned throughout. However, some sections, such as the objective and education, could be more concise and focused on the job requirements."
Software Engineer (Workflow Automation & Web Development) – Low-Code,360factors (Pvt.) Ltd.,2 weeks ago,"Job SummaryWe are seeking a skilled Low-Code Software Engineer with experience in workflow automation and web development platforms such as Decisions, WordPress, Appian, Out-Systems, Mendix, and Microsoft PowerApps. In this role, you will design, develop, and maintain low-code solutions to automate business processes, enhance customer experience, and build web applications. The ideal candidate will have strong experience working with low-code/no-code platforms to automate workflows, manage business processes, and develop websites, ensuring optimal performance and scalability.Key ResponsibilitiesDevelop and Maintain Low-Code Applications: Use platforms like Decisions, WordPress, Appian, Out-Systems, Mendix, and Microsoft PowerApps to build, modify, and maintain custom workflows, business process automation solutions, and websites.Design and Implement Workflow and Web Solutions: Collaborate with business analysts and stakeholders to design efficient, scalable workflows, web applications, and process automation solutions that meet business needs and improve operational efficiency.Process Automation & Web Customization: Customize and configure workflow automation tools, develop WordPress websites and plugins, and integrate third-party systems using APIs.Optimize & Troubleshoot: Troubleshoot and resolve issues in both low-code platforms and WordPress, ensuring optimal performance, scalability, and compliance with business requirements.Collaborate with Cross-Functional Teams: Work closely with product managers, business analysts, and engineers to ensure that projects are delivered on time and meet stakeholder expectations.Stay Updated: Keep up to date with new trends and advancements in low-code platforms, workflow automation technologies, and WordPress development to continuously improve processes and solutions.Desired SkillsAll other duties assigned by the manager.In-depth knowledge of low-code/no-code development methodologies and how to apply them in enterprise environments.Experience building business process workflows, automating tasks, and integrating systems using platforms like Decisions, Appian, Out-Systems, Mendix, or Microsoft PowerApps.Proficiency with WordPress development, including creating custom themes, plugins, and optimizing WordPress websites.Familiarity with web technologies (HTML, CSS, JavaScript) and basic SQL for managing data across platforms.Ability to troubleshoot and optimize performance issues in workflows, business processes, and websites.Strong written and verbal communication skills for collaborating with technical and non-technical stakeholders.Behavioral TraitsTeam Player: Ability to work collaboratively in a team environment.Self-motivated: Capable of working independently in a fast-paced, dynamic environment.Innovative: Continuously seeks to improve processes, automation, and web development techniques.Adaptable: Willingness to learn new low-code platforms, tools, and technologies as required.Detail-Oriented: High attention to detail with a focus on delivering high-quality solutions.Key Performance Indicators (KPIs)Timely delivery of low-code workflow automation and web development projects.Quality of workflows, integrations, and websites (minimal bugs and performance issues).User satisfaction with low-code applications and WordPress-based websites (based on feedback).Efficiency in troubleshooting and resolving platform-related and web development issues.Continuous improvement and updates to the systems and websites based on the latest platform features and trends.Experience RequirementsBachelor’s degree in computer science, Information Technology, or a related field.2-4 years of experience working with low-code platforms, specifically Decisions, WordPress, Appian, Out-Systems, Mendix, or Microsoft PowerApps.Proven experience developing custom workflows, business process automation, and WordPress-based web solutions.Strong understanding of business process modeling, automation, and web development using WordPress.Familiarity with RESTful APIs and integrating low-code platforms and WordPress with other enterprise systems.Send us your resume at careers@360factors.com mentioning the position in subject line.",https://pk.linkedin.com/jobs/view/software-engineer-workflow-automation-web-development-%E2%80%93-low-code-at-360factors-pvt-ltd-4280149236?trk=public_jobs_topcard-title,FULL STACK,"Score: 2/10
Reason: The resume lacks relevant keywords and experience in low-code platforms, workflow automation, and web development platforms mentioned in the job description, such as Decisions, WordPress, Appian, Out-Systems, Mendix, and Microsoft PowerApps. The candidate's experience and skills are mostly focused on full-stack development with React.js, Node.js, and modern frameworks, which are not directly applicable to the job requirements."
